network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,increase_support_level
0,9,9,3,2,3,2,56,56,56,0,0.25
0,9,9,3,2,3,2,56,66,66,1,0.25
0,9,9,3,2,3,2,56,66,66,2,0.25
0,9,9,3,2,3,2,56,66,66,3,0.25
0,9,9,3,2,3,2,56,66,66,4,0.25
0,9,9,3,2,3,2,56,66,66,5,0.25
0,9,9,3,2,3,2,56,66,66,6,0.25
0,9,9,3,2,3,2,56,66,66,7,0.25
0,9,9,3,2,3,2,56,66,66,8,0.25
0,9,9,3,2,3,2,56,66,66,9,0.25
0,9,9,3,2,3,2,56,66,66,10,0.25
1,6,7,4,1,4,1,31,31,31,0,0.25
1,6,7,4,1,4,1,31,38,41,1,0.25
1,6,7,4,1,4,1,31,40,43,2,0.25
1,6,7,4,1,4,1,31,39,47,3,0.25
1,6,7,4,1,4,1,31,38,48,4,0.25
1,6,7,4,1,4,1,31,40,48,5,0.25
1,6,7,4,1,4,1,31,42,46,6,0.25
1,6,7,4,1,4,1,31,41,46,7,0.25
1,6,7,4,1,4,1,31,41,47,8,0.25
1,6,7,4,1,4,1,31,41,45,9,0.25
1,6,7,4,1,4,1,31,40,45,10,0.25
2,9,4,2,2,2,2,56,56,56,0,0.25
2,9,4,2,2,2,2,56,66,66,1,0.25
2,9,4,2,2,2,2,56,66,66,2,0.25
2,9,4,2,2,2,2,56,66,66,3,0.25
2,9,4,2,2,2,2,56,66,66,4,0.25
2,9,4,2,2,2,2,56,66,66,5,0.25
2,9,4,2,2,2,2,56,66,66,6,0.25
2,9,4,2,2,2,2,56,66,66,7,0.25
2,9,4,2,2,2,2,56,66,66,8,0.25
2,9,4,2,2,2,2,56,66,66,9,0.25
2,9,4,2,2,2,2,56,66,66,10,0.25
3,9,2,2,1,2,1,54,54,54,0,0.25
3,9,2,2,1,2,1,54,66,66,1,0.25
3,9,2,2,1,2,1,54,66,66,2,0.25
3,9,2,2,1,2,1,54,66,66,3,0.25
3,9,2,2,1,2,1,54,66,66,4,0.25
3,9,2,2,1,2,1,54,66,66,5,0.25
3,9,2,2,1,2,1,54,66,66,6,0.25
3,9,2,2,1,2,1,54,66,66,7,0.25
3,9,2,2,1,2,1,54,66,66,8,0.25
3,9,2,2,1,2,1,54,66,66,9,0.25
3,9,2,2,1,2,1,54,66,66,10,0.25
4,8,13,5,2,4,1,48,48,48,0,0.25
4,8,13,5,2,4,1,48,61,62,1,0.25
4,8,13,5,2,4,1,48,66,66,2,0.25
4,8,13,5,2,4,1,48,66,66,3,0.25
4,8,13,5,2,4,1,48,65,66,4,0.25
4,8,13,5,2,4,1,48,65,66,5,0.25
4,8,13,5,2,4,1,48,66,66,6,0.25
4,8,13,5,2,4,1,48,66,66,7,0.25
4,8,13,5,2,4,1,48,66,66,8,0.25
4,8,13,5,2,4,1,48,66,66,9,0.25
4,8,13,5,2,4,1,48,65,66,10,0.25
5,8,11,2,3,2,3,44,44,44,0,0.25
5,8,11,2,3,2,3,44,55,59,1,0.25
5,8,11,2,3,2,3,44,60,63,2,0.25
5,8,11,2,3,2,3,44,60,64,3,0.25
5,8,11,2,3,2,3,44,60,65,4,0.25
5,8,11,2,3,2,3,44,60,63,5,0.25
5,8,11,2,3,2,3,44,60,64,6,0.25
5,8,11,2,3,2,3,44,61,65,7,0.25
5,8,11,2,3,2,3,44,62,63,8,0.25
5,8,11,2,3,2,3,44,61,65,9,0.25
5,8,11,2,3,2,3,44,62,65,10,0.25
6,6,7,2,2,2,2,29,29,29,0,0.25
6,6,7,2,2,2,2,29,38,38,1,0.25
6,6,7,2,2,2,2,29,39,40,2,0.25
6,6,7,2,2,2,2,29,40,42,3,0.25
6,6,7,2,2,2,2,29,40,43,4,0.25
6,6,7,2,2,2,2,29,38,44,5,0.25
6,6,7,2,2,2,2,29,38,43,6,0.25
6,6,7,2,2,2,2,29,38,43,7,0.25
6,6,7,2,2,2,2,29,39,43,8,0.25
6,6,7,2,2,2,2,29,39,44,9,0.25
6,6,7,2,2,2,2,29,38,43,10,0.25
7,10,9,7,5,3,2,63,63,63,0,0.25
7,10,9,7,5,3,2,63,66,66,1,0.25
7,10,9,7,5,3,2,63,66,66,2,0.25
7,10,9,7,5,3,2,63,66,66,3,0.25
7,10,9,7,5,3,2,63,66,66,4,0.25
7,10,9,7,5,3,2,63,66,66,5,0.25
7,10,9,7,5,3,2,63,66,66,6,0.25
7,10,9,7,5,3,2,63,66,66,7,0.25
7,10,9,7,5,3,2,63,66,66,8,0.25
7,10,9,7,5,3,2,63,66,66,9,0.25
7,10,9,7,5,3,2,63,66,66,10,0.25
8,8,5,6,1,5,0,48,48,48,0,0.25
8,8,5,6,1,5,0,48,60,63,1,0.25
8,8,5,6,1,5,0,48,65,66,2,0.25
8,8,5,6,1,5,0,48,64,66,3,0.25
8,8,5,6,1,5,0,48,64,66,4,0.25
8,8,5,6,1,5,0,48,65,66,5,0.25
8,8,5,6,1,5,0,48,66,66,6,0.25
8,8,5,6,1,5,0,48,66,66,7,0.25
8,8,5,6,1,5,0,48,65,66,8,0.25
8,8,5,6,1,5,0,48,66,66,9,0.25
8,8,5,6,1,5,0,48,66,66,10,0.25
9,5,12,1,4,1,4,28,28,28,0,0.25
9,5,12,1,4,1,4,28,33,37,1,0.25
9,5,12,1,4,1,4,28,37,40,2,0.25
9,5,12,1,4,1,4,28,38,39,3,0.25
9,5,12,1,4,1,4,28,38,40,4,0.25
9,5,12,1,4,1,4,28,39,40,5,0.25
9,5,12,1,4,1,4,28,40,42,6,0.25
9,5,12,1,4,1,4,28,38,41,7,0.25
9,5,12,1,4,1,4,28,37,42,8,0.25
9,5,12,1,4,1,4,28,37,41,9,0.25
9,5,12,1,4,1,4,28,36,42,10,0.25
10,8,13,2,4,2,3,52,52,52,0,0.25
10,8,13,2,4,2,3,52,66,66,1,0.25
10,8,13,2,4,2,3,52,66,66,2,0.25
10,8,13,2,4,2,3,52,66,66,3,0.25
10,8,13,2,4,2,3,52,66,66,4,0.25
10,8,13,2,4,2,3,52,66,66,5,0.25
10,8,13,2,4,2,3,52,66,66,6,0.25
10,8,13,2,4,2,3,52,66,66,7,0.25
10,8,13,2,4,2,3,52,66,66,8,0.25
10,8,13,2,4,2,3,52,66,66,9,0.25
10,8,13,2,4,2,3,52,66,66,10,0.25
11,3,2,1,1,1,1,8,8,8,0,0.25
11,3,2,1,1,1,1,8,12,10,1,0.25
11,3,2,1,1,1,1,8,11,12,2,0.25
11,3,2,1,1,1,1,8,13,12,3,0.25
11,3,2,1,1,1,1,8,13,11,4,0.25
11,3,2,1,1,1,1,8,13,10,5,0.25
11,3,2,1,1,1,1,8,12,11,6,0.25
11,3,2,1,1,1,1,8,12,11,7,0.25
11,3,2,1,1,1,1,8,10,11,8,0.25
11,3,2,1,1,1,1,8,11,12,9,0.25
11,3,2,1,1,1,1,8,11,12,10,0.25
12,7,4,5,1,4,1,41,41,41,0,0.25
12,7,4,5,1,4,1,41,52,55,1,0.25
12,7,4,5,1,4,1,41,55,59,2,0.25
12,7,4,5,1,4,1,41,56,59,3,0.25
12,7,4,5,1,4,1,41,56,59,4,0.25
12,7,4,5,1,4,1,41,56,59,5,0.25
12,7,4,5,1,4,1,41,58,60,6,0.25
12,7,4,5,1,4,1,41,57,60,7,0.25
12,7,4,5,1,4,1,41,57,60,8,0.25
12,7,4,5,1,4,1,41,58,60,9,0.25
12,7,4,5,1,4,1,41,56,62,10,0.25
13,10,12,3,4,1,4,60,60,60,0,0.25
13,10,12,3,4,1,4,60,66,66,1,0.25
13,10,12,3,4,1,4,60,66,66,2,0.25
13,10,12,3,4,1,4,60,66,66,3,0.25
13,10,12,3,4,1,4,60,66,66,4,0.25
13,10,12,3,4,1,4,60,66,66,5,0.25
13,10,12,3,4,1,4,60,66,66,6,0.25
13,10,12,3,4,1,4,60,66,66,7,0.25
13,10,12,3,4,1,4,60,66,66,8,0.25
13,10,12,3,4,1,4,60,66,66,9,0.25
13,10,12,3,4,1,4,60,66,66,10,0.25
14,3,11,1,5,1,4,10,10,10,0,0.25
14,3,11,1,5,1,4,10,12,12,1,0.25
14,3,11,1,5,1,4,10,13,14,2,0.25
14,3,11,1,5,1,4,10,14,14,3,0.25
14,3,11,1,5,1,4,10,15,14,4,0.25
14,3,11,1,5,1,4,10,15,15,5,0.25
14,3,11,1,5,1,4,10,16,16,6,0.25
14,3,11,1,5,1,4,10,15,15,7,0.25
14,3,11,1,5,1,4,10,14,14,8,0.25
14,3,11,1,5,1,4,10,15,15,9,0.25
14,3,11,1,5,1,4,10,14,15,10,0.25
15,10,10,3,4,2,3,62,62,62,0,0.25
15,10,10,3,4,2,3,62,66,66,1,0.25
15,10,10,3,4,2,3,62,66,66,2,0.25
15,10,10,3,4,2,3,62,66,66,3,0.25
15,10,10,3,4,2,3,62,66,66,4,0.25
15,10,10,3,4,2,3,62,66,66,5,0.25
15,10,10,3,4,2,3,62,66,66,6,0.25
15,10,10,3,4,2,3,62,66,66,7,0.25
15,10,10,3,4,2,3,62,66,66,8,0.25
15,10,10,3,4,2,3,62,66,66,9,0.25
15,10,10,3,4,2,3,62,66,66,10,0.25
16,6,8,2,1,2,1,36,36,36,0,0.25
16,6,8,2,1,2,1,36,47,48,1,0.25
16,6,8,2,1,2,1,36,50,53,2,0.25
16,6,8,2,1,2,1,36,50,54,3,0.25
16,6,8,2,1,2,1,36,51,53,4,0.25
16,6,8,2,1,2,1,36,52,53,5,0.25
16,6,8,2,1,2,1,36,53,52,6,0.25
16,6,8,2,1,2,1,36,51,51,7,0.25
16,6,8,2,1,2,1,36,52,52,8,0.25
16,6,8,2,1,2,1,36,51,53,9,0.25
16,6,8,2,1,2,1,36,49,54,10,0.25
17,8,11,3,0,3,0,49,49,49,0,0.25
17,8,11,3,0,3,0,49,62,64,1,0.25
17,8,11,3,0,3,0,49,66,66,2,0.25
17,8,11,3,0,3,0,49,66,66,3,0.25
17,8,11,3,0,3,0,49,66,66,4,0.25
17,8,11,3,0,3,0,49,66,66,5,0.25
17,8,11,3,0,3,0,49,66,66,6,0.25
17,8,11,3,0,3,0,49,66,66,7,0.25
17,8,11,3,0,3,0,49,66,66,8,0.25
17,8,11,3,0,3,0,49,66,66,9,0.25
17,8,11,3,0,3,0,49,66,66,10,0.25
