network_id,family_nodes,friend_nodes,family_active_nodes,friend_active_nodes,family_support,friend_support,initial_mfq,mfq_with_network,mfq_without_network,episode_number,p_connection_1
0,9,9,2,1,2,1,56,56,56,0,0.15
0,9,9,2,1,2,1,56,66,66,1,0.15
0,9,9,2,1,2,1,56,66,66,2,0.15
0,9,9,2,1,2,1,56,66,66,3,0.15
0,9,9,2,1,2,1,56,66,66,4,0.15
0,9,9,2,1,2,1,56,66,66,5,0.15
0,9,9,2,1,2,1,56,66,66,6,0.15
0,9,9,2,1,2,1,56,66,66,7,0.15
0,9,9,2,1,2,1,56,66,66,8,0.15
0,9,9,2,1,2,1,56,66,66,9,0.15
0,9,9,2,1,2,1,56,66,66,10,0.15
1,6,7,2,0,2,0,31,31,31,0,0.15
1,6,7,2,0,2,0,31,42,41,1,0.15
1,6,7,2,0,2,0,31,44,45,2,0.15
1,6,7,2,0,2,0,31,45,45,3,0.15
1,6,7,2,0,2,0,31,46,46,4,0.15
1,6,7,2,0,2,0,31,45,44,5,0.15
1,6,7,2,0,2,0,31,47,44,6,0.15
1,6,7,2,0,2,0,31,46,46,7,0.15
1,6,7,2,0,2,0,31,45,45,8,0.15
1,6,7,2,0,2,0,31,44,48,9,0.15
1,6,7,2,0,2,0,31,46,48,10,0.15
2,9,4,1,1,1,1,56,56,56,0,0.15
2,9,4,1,1,1,1,56,66,66,1,0.15
2,9,4,1,1,1,1,56,66,66,2,0.15
2,9,4,1,1,1,1,56,66,66,3,0.15
2,9,4,1,1,1,1,56,66,66,4,0.15
2,9,4,1,1,1,1,56,66,66,5,0.15
2,9,4,1,1,1,1,56,66,66,6,0.15
2,9,4,1,1,1,1,56,66,66,7,0.15
2,9,4,1,1,1,1,56,66,66,8,0.15
2,9,4,1,1,1,1,56,66,66,9,0.15
2,9,4,1,1,1,1,56,66,66,10,0.15
3,9,2,1,1,1,1,54,54,54,0,0.15
3,9,2,1,1,1,1,54,66,66,1,0.15
3,9,2,1,1,1,1,54,66,66,2,0.15
3,9,2,1,1,1,1,54,66,66,3,0.15
3,9,2,1,1,1,1,54,66,66,4,0.15
3,9,2,1,1,1,1,54,66,66,5,0.15
3,9,2,1,1,1,1,54,66,66,6,0.15
3,9,2,1,1,1,1,54,66,66,7,0.15
3,9,2,1,1,1,1,54,66,66,8,0.15
3,9,2,1,1,1,1,54,66,66,9,0.15
3,9,2,1,1,1,1,54,66,66,10,0.15
4,8,13,3,0,3,0,48,48,48,0,0.15
4,8,13,3,0,3,0,48,63,63,1,0.15
4,8,13,3,0,3,0,48,66,66,2,0.15
4,8,13,3,0,3,0,48,66,66,3,0.15
4,8,13,3,0,3,0,48,66,66,4,0.15
4,8,13,3,0,3,0,48,66,66,5,0.15
4,8,13,3,0,3,0,48,66,66,6,0.15
4,8,13,3,0,3,0,48,66,66,7,0.15
4,8,13,3,0,3,0,48,66,66,8,0.15
4,8,13,3,0,3,0,48,66,66,9,0.15
4,8,13,3,0,3,0,48,66,66,10,0.15
5,8,11,1,2,1,2,44,44,44,0,0.15
5,8,11,1,2,1,2,44,57,58,1,0.15
5,8,11,1,2,1,2,44,62,63,2,0.15
5,8,11,1,2,1,2,44,64,64,3,0.15
5,8,11,1,2,1,2,44,63,65,4,0.15
5,8,11,1,2,1,2,44,62,63,5,0.15
5,8,11,1,2,1,2,44,63,66,6,0.15
5,8,11,1,2,1,2,44,63,65,7,0.15
5,8,11,1,2,1,2,44,64,65,8,0.15
5,8,11,1,2,1,2,44,62,64,9,0.15
5,8,11,1,2,1,2,44,63,64,10,0.15
6,6,7,0,1,0,1,29,29,29,0,0.15
6,6,7,0,1,0,1,29,39,41,1,0.15
